"SEAT_TYPE","AVERAGE_RATING","FOOD_AND_BEVERAGES","GROUND_SERVICE","SEAT_COMFORT","CABIN_STAFF_SERVICE","WIFI_AND_CONNECTIVITY","VALUE_FOR_MONEY"
"Business Class",1.5,1.0,3.0,1.0,2.0,,1
"Economy Class",1.6,1.0,1.0,1.0,2.0,,3
"Business Class",2.33,2.0,3.0,4.0,2.0,1.0,2
"Business Class",1.8,1.0,2.0,1.0,4.0,,1
"Economy Class",1.86,1.0,3.0,2.0,2.0,1.0,2
"Economy Class",2.0,1.0,3.0,1.0,4.0,,1
"Economy Class",4.5,5.0,5.0,4.0,5.0,,4
"First Class",2.67,2.0,2.0,5.0,4.0,,1
"Premium Economy",3.33,3.0,2.0,4.0,3.0,,4
"Business Class",4.6,5.0,4.0,5.0,5.0,,4
"Economy Class",3.33,5.0,5.0,2.0,3.0,,3
"Business Class",4.83,5.0,5.0,5.0,5.0,,5
"Premium Economy",1.83,2.0,2.0,3.0,2.0,,1
"Business Class",5.0,5.0,5.0,5.0,5.0,,5
"Business Class",5.0,5.0,5.0,5.0,5.0,5.0,5
"Business Class",2.33,2.0,3.0,3.0,3.0,,1
"Business Class",2.67,3.0,2.0,2.0,4.0,,3
"Business Class",4.8,5.0,5.0,4.0,5.0,,5
"Economy Class",4.17,2.0,4.0,5.0,5.0,,4
"Business Class",4.67,5.0,5.0,5.0,5.0,,5
"Economy Class",3.33,3.0,4.0,4.0,1.0,,4
"Economy Class",1.4,1.0,2.0,2.0,1.0,,1
"Premium Economy",1.86,3.0,2.0,1.0,3.0,1.0,2
"Premium Economy",2.17,1.0,3.0,4.0,2.0,,2
"Economy Class",2.67,3.0,1.0,4.0,4.0,,1
"Business Class",2.83,3.0,3.0,4.0,4.0,,2
"Economy Class",2.33,3.0,3.0,3.0,1.0,,3
"Economy Class",4.5,5.0,4.0,4.0,5.0,,5
"Economy Class",2.2,1.0,4.0,2.0,3.0,,1
"Economy Class",3.0,3.0,4.0,3.0,3.0,,2
"Economy Class",3.4,3.0,4.0,3.0,3.0,,4
"Business Class",1.43,1.0,1.0,2.0,3.0,1.0,1
"Economy Class",3.0,3.0,4.0,3.0,3.0,,3
"Business Class",4.67,5.0,5.0,4.0,5.0,,4
"Economy Class",2.17,1.0,3.0,1.0,4.0,,1
"Business Class",4.17,4.0,5.0,4.0,4.0,,4
"Economy Class",1.17,1.0,2.0,1.0,1.0,,1
"Premium Economy",1.0,1.0,1.0,1.0,1.0,,1
"Economy Class",2.2,2.0,2.0,3.0,3.0,,1
"Economy Class",1.8,1.0,1.0,4.0,2.0,,1
"Business Class",1.43,1.0,1.0,3.0,1.0,1.0,2
"Premium Economy",2.67,3.0,3.0,3.0,3.0,,2
"Economy Class",1.57,1.0,3.0,2.0,1.0,1.0,2
"Business Class",2.43,2.0,3.0,2.0,3.0,1.0,3
"Economy Class",1.83,1.0,3.0,2.0,1.0,,3
"Economy Class",4.2,4.0,5.0,4.0,4.0,,4
"Economy Class",3.4,3.0,5.0,1.0,5.0,,3
"Economy Class",3.6,3.0,3.0,4.0,4.0,,4
"Economy Class",3.8,4.0,2.0,5.0,5.0,,3
"Premium Economy",2.14,1.0,4.0,3.0,3.0,1.0,2
"Premium Economy",1.0,,1.0,1.0,1.0,,1
"Premium Economy",5.0,5.0,5.0,5.0,5.0,,5
"Economy Class",2.83,2.0,5.0,3.0,3.0,,2
"Economy Class",2.0,2.0,1.0,2.0,2.0,,3
"Economy Class",1.67,1.0,1.0,2.0,2.0,,2
"Business Class",3.5,1.0,5.0,3.0,5.0,,5
"First Class",4.67,5.0,4.0,5.0,5.0,,4
"Economy Class",3.67,4.0,4.0,3.0,3.0,,4
"First Class",3.33,4.0,3.0,3.0,4.0,,3
"First Class",3.33,3.0,3.0,3.0,4.0,,3
"Premium Economy",1.0,,1.0,1.0,1.0,,1
"Economy Class",4.17,4.0,5.0,4.0,5.0,,4
"Economy Class",3.8,4.0,4.0,3.0,5.0,,3
"Economy Class",3.8,4.0,3.0,4.0,4.0,,4
"First Class",4.5,5.0,4.0,5.0,5.0,,4
"Business Class",2.67,3.0,2.0,3.0,3.0,,3
"Business Class",4.0,5.0,3.0,4.0,5.0,,4
"Business Class",4.2,4.0,2.0,5.0,5.0,,5
"Economy Class",2.0,1.0,1.0,3.0,3.0,3.0,1
"Economy Class",3.4,2.0,4.0,3.0,4.0,,4
"Business Class",2.33,2.0,2.0,3.0,3.0,,2
"Economy Class",1.17,1.0,2.0,1.0,1.0,,1
"Economy Class",3.14,3.0,1.0,5.0,5.0,1.0,4
"Business Class",2.17,1.0,4.0,1.0,4.0,,2
"Business Class",1.6,1.0,3.0,1.0,2.0,,1
"Economy Class",4.2,3.0,4.0,5.0,5.0,,4
"Economy Class",4.17,4.0,4.0,3.0,5.0,,5
"Economy Class",2.2,2.0,3.0,1.0,2.0,,3
"Business Class",3.0,2.0,4.0,3.0,4.0,,2
"Economy Class",4.0,4.0,3.0,4.0,4.0,,5
"Business Class",4.4,5.0,5.0,2.0,5.0,,5
"First Class",4.17,3.0,3.0,5.0,4.0,,5
"Economy Class",2.67,4.0,4.0,1.0,2.0,,3
"Business Class",2.4,4.0,1.0,2.0,4.0,,1
"Premium Economy",3.0,3.0,4.0,1.0,4.0,,2
"Economy Class",1.0,,1.0,,,,1
"Business Class",3.6,3.0,4.0,4.0,4.0,,3
"Economy Class",2.33,1.0,5.0,1.0,2.0,,2
"Premium Economy",2.83,3.0,4.0,2.0,3.0,,3
"Economy Class",3.4,3.0,3.0,4.0,3.0,,4
"Economy Class",5.0,5.0,5.0,5.0,5.0,,5
"Economy Class",1.33,1.0,2.0,1.0,1.0,,2
